UID	DLCL-0001	DLCL-0002	DLCL-0003	DLCL-0004	DLCL-0005	DLCL-0006	DLCL-0007	DLCL-0008	DLCL-0009	DLCL-0010	DLCL-0011	DLCL-0012	DLCL-0013	DLCL-0014	DLCL-0015	DLCL-0016	DLCL-0017	DLCL-0018	DLCL-0020	DLCL-0021	DLCL-0023	DLCL-0024	DLCL-0025	DLCL-0026	DLCL-0027	DLCL-0028	DLCL-0029	DLCL-0030	DLCL-0031	DLCL-0032	DLCL-0033	DLCL-0034	DLCL-0036	DLCL-0037	DLCL-0039	DLCL-0040	DLCL-0041	DLCL-0042	DLCL-0048	DLCL-0049
22	-0.91	-0.715	-0.62	-0.665	-1.987	-1.41	-0.64	-0.778	-0.778	-0.936	-0.478	-0.947	-0.5	-0.562	-0.459	-0.425	NA	-0.828	-1.112	-0.54	0.056	-0.096	-0.465	-0.593	0.876	NA	-0.765	-0.697	-0.769	-0.512	0.492	-0.86	NA	NA	NA	NA	NA	-0.445	-0.118	0.011
24	0.199	-0.035	-0.077	0.228	0.343	0.079	0.249	0.12	-0.855	0.015	-0.66	0.2	0.131	-0.103	-0.429	0.232	NA	-0.156	-0.334	0.583	-0.382	0.062	0.087	-0.208	-0.083	NA	-0.221	0.119	0.222	0.011	0.138	-0.158	NA	NA	NA	NA	NA	-0.492	-0.107	0.137
25	-0.925	-1.592	-1.944	-0.954	-1.694	-1.284	-0.3	-1.024	-1.006	-2.253	-0.397	-1.839	-1.688	-0.439	-1.561	-1.36	NA	-2.233	-1.574	1.215	-1.377	-0.796	-1.291	-1.804	-1.344	NA	0.064	0.228	-0.393	-0.593	-0.014	-0.177	NA	NA	NA	NA	NA	-0.341	-0.551	-1.509
27	-0.45	-1.224	-0.956	-0.105	-1.653	-0.448	0.28	-0.071	-1.264	-1.409	-0.623	-0.449	-0.872	-0.986	-1.328	-0.4	NA	-0.59	-0.703	-0.414	-0.988	-0.768	-0.981	-1.767	-0.722	NA	-0.147	-0.015	0.214	-0.645	-0.095	-0.811	NA	NA	NA	NA	NA	0.663	-0.493	-0.894
29	1.147	0.713	-0.138	0.697	0.156	0.637	0.142	0.439	0.81	-0.087	0.618	-2.439	-0.176	0.129	-0.559	-0.228	NA	0.232	0.091	-1.505	-0.722	-0.727	0.364	-1.203	0.204	NA	-0.004	0.919	0.842	-0.157	-1.179	-0.818	NA	NA	NA	NA	NA	0.727	0.254	1.566
31	-0.15	-0.187	-1.048	-0.532	-0.467	-0.242	-0.521	-0.485	0.302	-1.281	0.784	-1.337	-0.438	0.305	-0.715	-0.413	NA	-1.489	-0.446	-2.102	0.642	0.103	-1.051	-1.037	0.411	NA	0.243	-0.1	-0.627	-0.144	-0.166	-0.696	NA	NA	NA	NA	NA	-0.84	-0.095	-0.113
33	-2.193	-0.507	-0.6	-0.211	-0.713	-0.377	0.153	-0.194	-0.626	-0.766	0.122	-0.517	-1.334	0	-0.339	-0.618	NA	-0.751	-1.212	-1.975	0.306	NA	-1.131	-0.468	0.025	NA	0.003	-0.211	-0.874	-0.369	-0.107	-0.748	NA	NA	NA	NA	NA	-0.365	-0.406	-0.091
35	-0.53	-0.305	0.253	-0.093	-1.097	-0.351	0.491	-0.286	-1.035	0.152	-0.609	-0.12	-0.862	-0.438	-0.51	-0.577	NA	-0.359	-0.451	0.05	-0.845	NA	-0.294	-1.531	-0.451	NA	-0.427	0.112	-0.572	-0.526	-0.66	-0.341	NA	NA	NA	NA	NA	0.354	-0.32	-0.298
38	0.348	0.013	0.1	-0.019	0.641	-0.125	-0.782	0.026	-0.419	0.257	-0.281	0.03	-0.695	0.197	0.721	-1.093	NA	0.35	-0.234	-4.369	0.678	0.525	-0.176	0.981	-0.468	NA	0.084	0.322	0.142	-0.234	0.32	-0.483	NA	NA	NA	NA	NA	-0.23	0.109	0.376
39	0.773	0.123	0.655	0.42	0.195	0.503	0.781	1.141	-0.097	0.686	1.148	NA	-0.569	0.363	0.944	0.031	NA	0.73	-0.463	0.309	0.385	1.525	0.994	0.473	0.252	NA	1.463	0.434	0.685	0.309	-0.151	0.246	NA	NA	NA	NA	NA	0.014	0.941	1.265
40	-0.012	-0.843	-1.277	-0.377	-1.084	-0.838	-1.634	-1.041	-1.072	0.004	0.045	-0.758	-1.692	-1.653	-0.928	-1.939	NA	-0.419	-0.984	-2.233	-1.285	-1.392	-2.033	-0.306	-1.601	NA	-0.143	0	-1.237	0.096	-0.751	-1.585	NA	NA	NA	NA	NA	-0.327	-1.015	-1.528
41	-0.1	-0.514	0.127	-0.582	0.262	0.126	-0.453	-0.632	-0.524	-0.747	0.466	NA	-1.589	0.458	0.274	-0.703	NA	-0.19	-1.145	-0.291	0.681	0.981	0.479	0.419	1.04	NA	-0.005	-0.168	-0.122	-0.304	-0.564	-0.237	NA	NA	NA	NA	NA	-0.709	0.646	0.283
42	-0.561	-0.102	-0.363	-0.237	-1.333	-0.449	-0.176	-0.121	-0.701	-1.057	-0.801	-0.475	-0.414	-0.69	-0.817	-1.013	NA	0.169	-0.802	-0.205	-0.216	-0.257	-0.569	0.394	-0.531	NA	-0.434	0.008	-0.182	-0.754	-1.398	-0.275	NA	NA	NA	NA	NA	0.227	-0.007	-0.626
43	-0.902	-0.299	-0.382	-1.298	-0.503	-0.475	-0.262	-0.92	-0.919	-1.175	0.021	NA	-0.296	-0.007	-0.183	-0.981	NA	-1.129	-1.444	-0.285	0.819	0.269	0.285	0.193	0.967	NA	-1.034	-0.351	-0.634	-0.86	-0.783	-0.486	NA	NA	NA	NA	NA	-1.189	0.657	0.312
44	2.339	1.894	0.46	-0.768	2.112	0.885	-1.12	-0.815	0.382	2.837	0.127	-0.151	1.52	1.018	0.957	1.632	NA	0.304	1.518	2.022	0.989	1.089	0.412	1.241	0.962	NA	-0.516	-0.714	0.129	0.547	0.475	-0.418	NA	NA	NA	NA	NA	2.212	-0.294	1.027
45	0.922	0.714	0.12	-0.618	1.652	0.526	0.09	0.115	0.607	1.64	0.145	NA	1.521	0.517	0.568	0.888	NA	0.209	0.138	1.541	0.337	0.135	0.214	0.203	0.763	NA	0.15	-0.038	0.302	0.066	-0.319	-0.097	NA	NA	NA	NA	NA	1.924	0.562	1.118
46	0.801	-0.368	0.219	-0.123	1.7	0.665	-0.363	-0.133	-0.189	1.024	0.604	0.798	0.518	-0.613	0.659	0.695	NA	0.111	0.137	1.219	0.032	0.295	0.044	0.444	0.373	NA	0.01	-0.037	0.111	0.198	-0.516	-0.525	NA	NA	NA	NA	NA	1.679	0.229	0.557
47	0.855	-0.251	0.161	-0.504	0.494	0.44	-0.086	0.437	-0.062	-0.003	0.312	NA	1.075	0.755	0.174	0.014	NA	0.083	-0.544	0.183	0.115	0.774	0	0.562	0.127	NA	0.007	0.374	0.06	-0.157	-0.23	-0.069	NA	NA	NA	NA	NA	-0.109	0.053	0.253
50	1.174	-0.524	-0.39	-0.346	-0.287	-0.454	-0.637	1.106	0.079	-0.201	-0.335	0.459	-0.242	-0.738	1.029	-0.622	NA	0.344	-0.758	-1.196	-0.288	-0.256	-0.547	0.6	-0.076	NA	-0.967	0.899	-0.128	0.759	-0.293	0.184	NA	NA	NA	NA	NA	-0.626	-0.492	-0.495
52	-0.605	-0.977	0.123	-0.454	-0.1	-0.83	-0.421	-0.021	-0.327	-0.753	0.265	-0.541	-0.369	0.343	-0.254	0.119	NA	-0.661	-0.678	-0.888	0.193	0.091	-0.156	-0.067	0.546	NA	-0.343	0.229	-0.824	0.747	0.783	1.376	NA	NA	NA	NA	NA	-0.349	0.331	-0.48
53	1.839	-2.267	-1.274	-1.398	-0.612	-0.579	-1.365	-1.89	-0.946	-1.853	-0.522	NA	0.16	-1.249	-0.761	-1.203	NA	-1.661	-1.303	1.957	-0.553	-1.57	0.579	-1.798	-0.639	NA	-1.06	-1.071	-1.091	-1.096	-0.248	-0.48	NA	NA	NA	NA	NA	-1.159	-0.671	-2.185
54	2.5	2.335	3.238	1.858	1.61	2.468	0.932	0.782	0.968	0.093	3.694	1.43	1.826	1.744	1.914	2.519	NA	1.4	2.93	-0.019	1.686	0.652	1.136	0.487	1.563	NA	1.572	2.201	2.021	2.24	0.797	0.141	NA	NA	NA	NA	NA	1.435	1.636	0.472
56	-0.585	-1.154	-1.446	-0.575	0.042	0.043	0.14	0.438	-0.324	-1.324	-0.696	-0.769	0.136	-0.884	-0.958	-0.448	NA	-0.748	-0.521	-1.543	-0.379	-0.635	-0.373	-0.849	-1.963	NA	0.061	-0.479	-0.669	0.209	-2.129	-0.078	NA	NA	NA	NA	NA	-0.486	-1.161	-0.577
58	-0.459	-0.21	-0.368	-0.156	0.273	0.256	-0.646	0.109	-0.069	-0.327	0.064	0.761	0.257	-0.232	-0.195	-0.186	NA	-0.108	-0.13	-0.089	-0.406	-0.117	-0.189	-0.754	-0.832	NA	0.833	-0.075	-0.024	0.056	-1.147	-0.232	NA	NA	NA	NA	NA	-0.244	-0.067	0.226
59	-2.415	-0.598	-0.852	-0.353	0.856	-0.072	0.148	0.497	-0.42	0.18	-0.984	0.427	-0.263	0.558	0.856	0.526	NA	0.057	-0.033	NA	1.034	0.819	0.127	0.482	0.991	NA	0.014	-0.161	-0.073	-0.167	-0.385	0.035	NA	NA	NA	NA	NA	-0.421	0.286	0.465
60	-0.914	-0.982	0.019	-0.286	0.592	0.09	-0.538	-0.036	-0.091	-0.241	0.234	0.132	0.345	-0.122	-0.405	0.448	NA	0.133	-0.29	-1.29	0.222	-0.624	-0.112	0.65	-0.383	NA	-0.734	-0.119	-0.08	0.115	-3.7	0.269	NA	NA	NA	NA	NA	-0.959	0	0.142
62	-1.398	-0.854	-1.185	-0.453	-1.656	-1.049	-0.29	-0.341	-0.059	-1.988	-0.468	2.529	-0.868	-0.668	-1.144	-0.689	NA	-0.481	-1.148	-1.337	-0.923	-1.026	-0.757	-1.552	-0.415	NA	-0.715	-1.069	0.216	-0.431	0.267	-0.474	NA	NA	NA	NA	NA	-0.424	-0.844	-0.841
64	-0.855	-1.144	-0.905	0.191	0.158	-0.7	-0.344	0.07	-0.208	-0.189	-1.232	-0.038	-1.195	-1.36	0.287	-0.386	NA	-0.179	-0.784	-1.265	-1.186	0.218	-0.875	-1.094	-0.111	NA	-0.057	0.818	0.322	-0.089	-0.113	-0.557	NA	NA	NA	NA	NA	-0.223	-1.084	-0.592
65	0.742	0.715	0.328	0.501	0.698	0.182	0.08	-0.413	0.927	1.527	0.797	NA	-0.59	0.401	0.747	0.532	NA	0.008	0.243	-0.452	1.188	-0.558	-0.196	1.405	-0.378	NA	0.719	1.255	0.226	0.689	2.54	0.566	NA	NA	NA	NA	NA	0.342	0.539	-1.155
66	0.5	0.1	0.039	0.098	0.894	-0.276	0.514	0.287	0.748	-0.09	-0.009	-0.142	0.028	-0.51	0.433	0.182	NA	0.758	-0.304	0.045	-2.17	-0.024	0.134	1.389	-0.19	NA	0.189	-0.149	0.146	0.693	1.521	0	NA	NA	NA	NA	NA	-0.272	-1.014	0.774
67	1.527	-0.176	-0.139	-0.215	0.458	-0.034	-0.263	0.075	0.667	-0.088	0.442	NA	-1.918	0.391	0.36	0.099	NA	0.001	-0.495	-0.771	0.341	-0.441	-0.566	0.968	0.015	NA	0.488	-0.377	0.222	-0.068	0.773	0.236	NA	NA	NA	NA	NA	0.084	0.101	-0.263
68	-0.152	NA	0.056	0.969	-1.131	0.999	0.423	1.011	1.148	0.418	0.234	-0.931	0.58	-1.32	-0.861	-0.148	NA	-0.236	0.2	-0.751	-0.819	-0.705	-0.415	-0.544	0.027	NA	0.831	0.892	0.731	1.361	-0.79	0.459	NA	NA	NA	NA	NA	0.15	-0.795	-0.129
69	-1.406	-0.458	0.047	-0.174	0.355	-0.146	0.617	0.244	0.189	0.102	0.106	NA	-0.47	0.07	0.478	0.19	NA	0.575	1.099	0.894	0.434	-0.012	0.162	2.103	0.494	NA	0.064	-0.146	0.449	-0.273	1.817	0.04	NA	NA	NA	NA	NA	0.764	0.395	-0.358
70	-0.715	0.322	0.292	0.321	-0.752	0.205	1.167	0.308	-0.973	0.061	-1.727	0.166	-1.135	-0.607	-0.609	-0.821	NA	0.045	-0.877	0.861	-0.165	-0.385	-0.286	-0.633	0.014	NA	-0.175	-0.657	0.341	-0.177	0.825	-0.237	NA	NA	NA	NA	NA	1.313	-0.497	-0.607
71	-0.062	0.052	0.61	0.067	0.74	0.053	0.975	0.378	0.483	0.272	0.401	NA	-0.082	0.527	0.421	0.406	NA	0.387	-0.212	0.751	-0.238	-0.206	0.15	0.599	0.487	NA	-0.243	-0.22	0.864	0.182	-0.019	0.27	NA	NA	NA	NA	NA	0.744	0.373	-0.342
72	-0.737	-4.459	-0.077	0.022	0.424	-0.038	-1.8	-0.766	0.446	-0.254	-0.794	-0.179	0.828	0.403	1.09	0.361	NA	-0.046	-0.214	-0.585	0.344	0.344	-0.014	0.753	-0.368	NA	-0.512	-0.07	-0.021	0.136	0.606	-0.274	NA	NA	NA	NA	NA	-0.933	-0.951	0.038
73	1.181	-0.606	1.201	0.508	-0.625	-0.522	0.357	1.12	-0.048	1.956	-0.476	0.216	0.796	0.244	1.149	-0.197	NA	0.37	-0.995	2.236	0.538	NA	-0.658	0.347	-0.182	NA	0.705	0.728	-0.64	0.346	-0.333	1.293	NA	NA	NA	NA	NA	-0.735	-2.358	-0.491
77	-2.622	-1.483	-0.409	-0.806	-1.097	-0.743	-0.909	-2.081	-0.627	-1.525	-1.246	-1.76	-3.883	-0.106	-0.26	-0.425	NA	-1.011	-1.131	NA	-0.526	-0.485	-0.988	-1.01	-0.967	NA	-0.478	-0.443	-0.959	-0.703	-0.475	-0.585	NA	NA	NA	NA	NA	0.286	-0.936	-0.841
79	0.144	-0.933	-0.84	-1.023	-0.692	0.338	-0.567	-0.186	0.643	-0.045	-0.667	-0.545	0.933	-1.025	-0.721	0.191	NA	0.45	0.558	-0.713	-1.082	0.531	-0.557	-0.295	-0.259	NA	0.451	-0.433	-0.315	-0.149	-0.248	-0.125	NA	NA	NA	NA	NA	0.431	-1.184	0.947
81	0	-0.038	0.592	0.091	-0.197	-0.204	-0.07	-0.046	-0.147	-0.075	-0.518	-0.423	0.317	0.086	0.656	0.333	NA	0.488	-0.33	-0.1	0.256	0.123	-0.415	0.509	-0.1	NA	-0.071	0.351	-0.127	-0.185	0.44	0.032	NA	NA	NA	NA	NA	-0.084	-0.493	0.507
83	-0.775	-0.633	-0.504	-0.76	-1.672	-0.469	-0.502	-1.055	0.806	-1.279	-1.384	-0.252	-1.112	-0.072	-1.173	-0.398	NA	-0.813	-1.149	-0.685	-1.112	-1.196	-1.083	-1.51	0.875	NA	-0.431	-0.326	0.763	-0.894	-1.366	-0.707	NA	NA	NA	NA	NA	-0.057	-0.528	-1.381
85	-0.482	-0.942	-0.297	-0.58	-1.179	-0.212	-0.98	-0.612	-0.368	-1.242	-0.388	NA	-0.565	-0.405	-0.311	-0.688	NA	-0.965	-0.7	-0.33	-1.058	-0.664	-0.633	-1.055	-1.038	NA	-0.044	0.364	-0.447	-0.281	-1.113	0.315	NA	NA	NA	NA	NA	0.329	-0.832	-0.862
86	-0.104	-1.507	-1.234	-1.217	-1.557	-1.226	0.185	0.298	-2.054	-1.778	-2.283	-0.725	-2.07	-2.575	-1.123	-0.967	NA	-0.663	-1.519	-0.26	-1.913	-0.674	-1.391	-0.677	-2.103	NA	-0.252	-0.763	-0.435	-1.01	-1.177	-1.361	NA	NA	NA	NA	NA	-0.8	-1.229	-1.925
88	0.256	-0.154	-0.401	-0.779	0.39	-0.648	-1.532	0.163	-0.597	-0.246	-0.36	-0.051	-0.394	0.269	0.368	-0.659	NA	-0.368	-0.89	-1.564	-0.028	0.496	-0.512	0.842	0.853	NA	-0.556	-0.248	-0.302	0.018	0.091	-0.351	NA	NA	NA	NA	NA	-1.097	0.305	-0.015
90	0.358	-0.037	-0.204	-0.218	-0.061	-0.162	-1	-0.102	-0.186	-0.583	0.332	0.112	-3.392	-0.658	0	-0.425	NA	-0.614	0.336	-2.022	NA	-0.074	0.151	0.401	1.465	NA	0.658	0.245	0.143	-0.25	-0.185	0.222	NA	NA	NA	NA	NA	-0.911	0.104	0.451
91	0.126	0.402	-0.035	0.362	0.291	0.801	0.388	-0.143	1.15	-0.104	0.379	0.785	-0.43	0.1	0	0.508	NA	0.02	0.258	0.113	-0.507	-0.145	0.455	0.095	0.744	NA	0.724	0.867	0.581	0.104	0.552	0.226	NA	NA	NA	NA	NA	-0.749	NA	0.049
92	-0.234	0.142	0.365	-0.558	0.525	0.185	-0.467	-0.539	-0.935	-0.338	0.164	0.668	0.633	-0.085	0.752	-0.124	NA	0.067	-0.099	0.316	-0.181	0.394	-0.298	0.969	0.02	NA	-0.453	-0.951	0.872	-0.462	-1.347	-0.529	NA	NA	NA	NA	NA	0.359	0.489	-0.305
93	0.059	-0.954	-0.079	-0.098	0.126	-0.048	-0.406	0.758	0.408	-0.24	0.068	-0.493	-0.289	-0.07	-0.078	-0.368	NA	0.311	-0.619	-0.487	0.086	0.367	-0.519	-0.028	0.287	NA	0.645	0.019	-0.022	-0.095	-0.581	-0.276	NA	NA	NA	NA	NA	-0.62	-0.247	-0.239
94	-0.744	0.401	-0.829	-0.225	0.357	-0.752	-0.257	-1.319	-1.292	-1.364	-0.803	-1.243	-0.352	-0.781	-0.593	-0.364	NA	-0.53	-0.892	-2.104	-0.173	-0.934	-1.506	-1.079	-0.436	NA	-0.553	-0.603	-0.185	-0.802	-0.202	-1.425	NA	NA	NA	NA	NA	-0.132	0.724	-1.21
95	-1.35	-0.581	-0.25	-0.505	-0.917	-1.013	-0.36	-0.092	-1.081	-0.588	-1.577	-0.532	-1.544	-0.573	-0.574	-0.964	NA	-0.453	-1.09	1.117	-0.462	-0.013	-0.669	-0.116	0.077	NA	-0.426	-0.131	-0.372	-1.164	-0.509	-0.562	NA	NA	NA	NA	NA	-0.214	-0.027	-0.904
97	-0.75	-0.928	-0.644	-0.957	0.499	-0.818	-0.64	-0.864	-0.555	-0.861	-0.851	-0.527	-0.323	-0.281	0.085	-1.213	NA	-0.313	-0.955	-0.827	0.062	0.062	-0.42	-0.498	0.919	NA	-0.779	-0.693	-0.126	-0.61	-1.088	-0.648	NA	NA	NA	NA	NA	-0.935	-0.202	0.109
98	-1.227	-0.387	-0.503	-0.115	-1.342	0.055	-0.432	0.404	-0.148	0.281	-0.131	0.182	0.962	0.522	0.72	-0.014	NA	0.288	-0.051	-0.143	-0.038	0.562	0.228	0.583	0.354	NA	-0.071	-0.73	-0.334	0.435	-1	-0.045	NA	NA	NA	NA	NA	-0.574	-0.312	0.379
99	1.361	-0.66	-1.142	0.247	0.161	-0.107	-1.204	0.398	-0.507	0.62	-0.524	0.333	-0.758	0.199	1.456	-0.783	NA	0.559	-0.493	-0.027	0.334	-0.027	-0.227	1.111	0.682	NA	0.21	-0.389	-0.531	-0.395	1.695	-0.134	NA	NA	NA	NA	NA	-0.84	-0.365	0.024
100	0.129	-0.168	0.426	0.149	-0.711	0.227	0.157	0.45	-0.363	0.518	-0.273	-0.1	0.293	0.069	0.062	0.311	NA	-0.164	-0.058	0.173	0.066	0.172	-0.124	0.555	0.252	NA	0.263	0.479	-0.17	0.039	-0.321	0.123	NA	NA	NA	NA	NA	0.176	0.318	0.137
101	-1.166	-0.34	-0.245	-0.162	0.77	0.111	0.017	0.444	0.053	0.247	0.263	-0.024	-0.367	0.283	0.771	0.279	NA	0.11	-0.053	-1.972	-0.295	0.415	0.175	0.508	0.611	NA	-0.142	-0.263	-0.072	0.148	-4.135	0.504	NA	NA	NA	NA	NA	-0.663	0.273	0.67
102	0.154	-0.469	0.096	-0.191	-0.209	0.345	0.217	-0.041	-0.662	-0.384	-0.055	-0.161	0.569	-0.363	-0.111	0.405	NA	-0.108	-0.016	-0.521	-0.498	-0.295	-0.032	0.34	-0.364	NA	-0.015	-0.106	0.09	0.044	-1.511	0.096	NA	NA	NA	NA	NA	-0.53	-0.419	-0.365
104	2.559	-0.561	4.185	-1.077	1.994	0.559	1.088	-0.313	-1.346	4.884	2.205	1.645	0.895	0.604	2.588	-1.189	NA	2.12	0.39	-0.203	2.427	-0.242	-0.912	0.97	-1.073	NA	-1.145	1.559	-0.827	1.226	2.13	-0.305	NA	NA	NA	NA	NA	-0.982	0.786	-0.698
105	-0.231	0.221	0.29	-0.418	0.306	0.399	0	-0.936	0.157	-0.933	0.08	-0.179	1.392	0.402	0.172	0.499	NA	-0.151	0.246	-1.714	-0.369	0.447	0.153	0.252	0.861	NA	-0.097	0.165	0.089	-0.109	NA	-0.526	NA	NA	NA	NA	NA	-1.154	-0.674	-0.135
106	0.046	-0.693	-0.284	1.531	0.206	-0.302	0.872	0.177	-0.457	0.32	-0.631	0.068	0.654	0.065	0.311	-0.028	NA	0.512	-0.3	0.389	-0.485	0.663	0.053	0.236	0.322	NA	0.373	-0.285	-0.449	0.113	-0.616	0.24	NA	NA	NA	NA	NA	-0.422	-0.714	-0.093
107	-1.08	-0.433	0.127	-0.151	-0.422	-0.362	-0.273	-0.531	-0.433	-0.278	-0.777	0.378	0.515	-0.125	-0.111	-0.522	NA	-0.307	-0.437	0.576	-0.593	-0.607	-0.187	-1.067	0.832	NA	-0.352	-0.143	-0.583	-0.343	-2.114	0.08	NA	NA	NA	NA	NA	-0.216	-0.666	-0.24
108	0.175	-0.227	0.502	0.037	0.316	-0.053	-0.331	-0.255	-0.124	0.901	0.075	0.083	0.367	0.328	0.771	0.065	NA	-0.012	-0.645	1.026	0.821	0.62	0.061	1.06	0.869	NA	-0.434	-0.569	-0.169	0.163	-1.037	-0.291	NA	NA	NA	NA	NA	-1.067	-0.585	0.506
