"","Description","Symbol","pvalue","Pval.Test","fold","Fold.Test"
"1415789_a_at","ubiquitin-like domain containing CTD phosphatase 1","Ublcp1",9.68911251135144e-07,TRUE,-1.43804238401877,TRUE
"1415792_at","RanBP-type and C3HC4-type zinc finger containing 1","Rbck1",5.65727034179519e-06,TRUE,4.45567336918086,TRUE
"1415793_at","pyridoxine 5'-phosphate oxidase","Pnpo",1.31565052898624e-06,TRUE,1.11625248078611,TRUE
"1415795_at","spindlin 1","Spin1",2.11387526538024e-08,TRUE,1.47023569827611,TRUE
"1415796_at","DAZ associated protein 2","Dazap2",7.86148466783984e-10,TRUE,-1.06658280102455,TRUE
"1415800_at","gap junction protein, alpha 1","Gja1",0.0389436431253972,TRUE,3.06786163160242,TRUE
"1415802_at","solute carrier family 16 (monocarboxylic acid transporters), member 1","Slc16a1",0.000482018387051752,TRUE,1.28094212876964,TRUE
"1415811_at","ubiquitin-like, containing PHD and RING finger domains, 1","Uhrf1",2.38940540819725e-05,TRUE,-1.0149904849137,TRUE
"1415814_at","ATPase, H+ transporting, lysosomal V1 subunit B2","Atp6v1b2",0.0045683875148592,TRUE,-1.33048101943989,TRUE
"1415818_at","annexin A6","Anxa6",9.70505342870615e-06,TRUE,3.77071882181794,TRUE
"1415819_a_at","protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform","Ppp2r1a",5.23460617963517e-05,TRUE,-1.03541965294478,TRUE
"1415820_x_at","non-POU-domain-containing, octamer binding protein","Nono",1.15591591204402e-11,TRUE,1.772859372362,TRUE
"1415822_at","stearoyl-Coenzyme A desaturase 2","Scd2",0.019671331776419,TRUE,1.45814076845085,TRUE
"1415833_x_at","ribosomal protein S29","Rps29",1.30779875381625e-07,TRUE,2.24046500629827,TRUE
"1415846_a_at","lactate dehydrogenase C","Ldhc",1.25686007925211e-05,TRUE,4.75339633418031,TRUE
"1415847_at","lactate dehydrogenase C","Ldhc",1.96878889386473e-05,TRUE,3.01515166888918,TRUE
"1415850_at","RAS p21 protein activator 3","Rasa3",5.15406458162077e-06,TRUE,-1.27974302624366,TRUE
"1415851_a_at","inosine 5'-phosphate dehydrogenase 2","Impdh2",0.00254145124198898,TRUE,2.52504442699277,TRUE
"1415852_at","inosine 5'-phosphate dehydrogenase 2","Impdh2",3.56840426880406e-06,TRUE,2.92546756510993,TRUE
"1415857_at","embigin","Emb",1.50046692664842e-06,TRUE,2.17066644657131,TRUE
"1415858_at","eukaryotic translation initiation factor 3, subunit C","Eif3c",1.31987703797429e-10,TRUE,6.30165973284433,TRUE
"1415859_at","eukaryotic translation initiation factor 3, subunit C","Eif3c",2.27168280926157e-08,TRUE,-1.43022437991412,TRUE
"1415867_at","chaperonin containing Tcp1, subunit 4 (delta)","Cct4",5.10960591718368e-07,TRUE,1.94069680185593,TRUE
"1415869_a_at","tripartite motif-containing 28","Trim28",7.37931692489588e-12,TRUE,-1.02469843538088,TRUE
"1415874_at","sprouty homolog 1 (Drosophila)","Spry1",7.24568823697886e-09,TRUE,1.5826435657487,TRUE
"1415876_a_at","ribosomal protein S26","Rps26",1.71314244773769e-07,TRUE,3.19194976834627,TRUE
"1415877_at","dihydropyrimidinase-like 3","Dpysl3",8.73242727591825e-05,TRUE,-1.56227122774298,TRUE
"1415888_at","hepatoma-derived growth factor","Hdgf",5.85883440312539e-09,TRUE,-1.27419473553347,TRUE
"1415889_a_at","heat shock protein 90, beta (Grp94), member 1","Hsp90b1",1.67221723986031e-08,TRUE,1.78781621688922,TRUE
"1415890_at","3'-phosphoadenosine 5'-phosphosulfate synthase 1","Papss1",1.36973329576963e-10,TRUE,-1.17752811367725,TRUE
"1415895_at","SNRPN upstream reading frame///small nuclear ribonucleoprotein N","Snurf///Snrpn",1.5495144170758e-08,TRUE,-2.26893848951118,TRUE
"1415896_x_at","SNRPN upstream reading frame///small nuclear ribonucleoprotein N","Snurf///Snrpn",2.30805482518464e-07,TRUE,-3.42214292847648,TRUE
"1415909_at","stress-induced phosphoprotein 1","Stip1",3.58853015300446e-08,TRUE,2.04903452414978,TRUE
"1415910_s_at","cytokine induced apoptosis inhibitor 1","Ciapin1",1.69110220384349e-08,TRUE,-1.09961589565015,TRUE
"1415911_at","imprinted and ancient","Impact",0.00286817569346698,TRUE,1.09217724717761,TRUE
"1415912_a_at","ribosomal protein S13","Rps13",9.68667386520241e-09,TRUE,4.41123048195533,TRUE
"1415915_at","DEAD (Asp-Glu-Ala-Asp) box polypeptide 1","Ddx1",1.42080158607651e-07,TRUE,5.35263548463999,TRUE
"1415916_a_at","methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase","Mthfd1",1.38746306512152e-09,TRUE,1.70007377159122,TRUE
"1415917_at","methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase","Mthfd1",7.84431997467239e-07,TRUE,1.91472731716621,TRUE
"1415918_a_at","triosephosphate isomerase 1","Tpi1",1.18040446318952e-07,TRUE,1.05587362487587,TRUE
"1415925_a_at","nucleoporin 62","Nup62",4.92735699607199e-08,TRUE,-1.03296712002215,TRUE
"1415926_at","nucleoporin 62","Nup62",1.18279716079132e-05,TRUE,-1.2561325072807,TRUE
"1415931_at","insulin-like growth factor 2","Igf2",0.0181080395759351,TRUE,1.02778067894673,TRUE
"1415935_at","SPARC related modular calcium binding 2","Smoc2",9.69341891052734e-06,TRUE,-1.16243418231875,TRUE
"1415936_at","breast cancer anti-estrogen resistance 3","Bcar3",3.1473947491214e-10,TRUE,2.50609097728712,TRUE
"1415941_s_at","zinc finger, AN1-type domain 2A","Zfand2a",7.17872980654699e-14,TRUE,-1.10233021085105,TRUE
"1415942_at","ribosomal protein L10","Rpl10",6.58797215204319e-10,TRUE,1.17533577560649,TRUE
"1415945_at","minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)","Mcm5",1.0889252918681e-08,TRUE,2.35137957388976,TRUE
"1415949_at","carboxypeptidase E","Cpe",0.00356126030268451,TRUE,1.37341895435052,TRUE
"1415959_at","solute carrier family 2 (facilitated glucose transporter), member 4","Slc2a4",0.0161008965807052,TRUE,-1.18243490821428,TRUE
"1415961_at","integral membrane protein 2C","Itm2c",7.27825609707034e-05,TRUE,1.03622988716499,TRUE
"1415962_at","eukaryotic translation initiation factor 3, subunit H","Eif3h",1.24271304349714e-08,TRUE,3.04395511361833,TRUE
"1415966_a_at","NADH dehydrogenase (ubiquinone) flavoprotein 1","Ndufv1",1.26693815604658e-10,TRUE,4.60682579492616,TRUE
"1415967_at","NADH dehydrogenase (ubiquinone) flavoprotein 1","Ndufv1",1.1455082539273e-12,TRUE,3.70551751434143,TRUE
"1415979_x_at","ribosomal protein L7","Rpl7",9.95274174125355e-10,TRUE,5.5037560108827,TRUE
"1415980_at","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)","Atp5g2",3.01196925420827e-08,TRUE,2.45413579908249,TRUE
"1415982_at","HERPUD family member 2","Herpud2",0.00215033395575569,TRUE,-1.79676464914757,TRUE
"1415983_at","lymphocyte cytosolic protein 1","Lcp1",0.000167840290021188,TRUE,3.09527673972126,TRUE
"1415985_at","splicing factor 3b, subunit 3","Sf3b3",7.1165394640006e-06,TRUE,1.03098638471349,TRUE
"1415987_at","high density lipoprotein (HDL) binding protein","Hdlbp",1.08270491831923e-05,TRUE,2.78808399306042,TRUE
"1415988_at","high density lipoprotein (HDL) binding protein","Hdlbp",0.00065733813804976,TRUE,-1.11578099489489,TRUE
"1415990_at","voltage-dependent anion channel 2","Vdac2",1.08455156396846e-09,TRUE,1.87509392146685,TRUE
"1415991_a_at","kelch domain containing 3","Klhdc3",1.5169674991206e-09,TRUE,1.16875906933924,TRUE
"1416004_at","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide","Ywhah",1.60841304592521e-08,TRUE,1.12233338617999,TRUE
"1416005_at","protease (prosome, macropain) 26S subunit, ATPase 1","Psmc1",1.41929237232943e-07,TRUE,4.30356171203521,TRUE
"1416007_at","special AT-rich sequence binding protein 1","Satb1",4.97461541039415e-14,TRUE,-1.53194568079084,TRUE
"1416010_a_at","EH-domain containing 1","Ehd1",1.132689608302e-08,TRUE,2.72394951260218,TRUE
"1416011_x_at","EH-domain containing 1","Ehd1",6.04742777052934e-12,TRUE,3.24576296167267,TRUE
"1416013_at","phospholipase D family, member 3","Pld3",3.49186520070213e-08,TRUE,4.00880426447921,TRUE
"1416017_at","coatomer protein complex, subunit gamma 1","Copg1",1.26321995708215e-06,TRUE,-1.11794233500966,TRUE
"1416018_at","down-regulator of transcription 1","Dr1",0.000245038055743065,TRUE,4.08768419163174,TRUE
"1416019_at","down-regulator of transcription 1","Dr1",1.17578365631214e-05,TRUE,1.05776649080152,TRUE
"1416020_a_at","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c1 (subunit 9)","Atp5g1",4.23793551019247e-08,TRUE,6.63103881573875,TRUE
"1416024_x_at","chaperonin containing Tcp1, subunit 3 (gamma)","Cct3",1.92143165139896e-09,TRUE,1.89160105651256,TRUE
"1416026_a_at","ribosomal protein L12","Rpl12",7.38540389997105e-07,TRUE,7.02507365674403,TRUE
"1416028_a_at","hematological and neurological expressed sequence 1","Hn1",4.78100423950403e-11,TRUE,2.92416260377874,TRUE
"1416032_at","transmembrane protein 109","Tmem109",2.61098226588643e-06,TRUE,-1.07149021319934,TRUE
"1416037_a_at","chaperonin containing Tcp1, subunit 2 (beta)","Cct2",2.43619257599387e-07,TRUE,3.53948916682491,TRUE
"1416041_at","serum/glucocorticoid regulated kinase 1","Sgk1",4.1807464839238e-07,TRUE,1.59597698244665,TRUE
"1416044_at","flightless I homolog (Drosophila)","Flii",2.88705654694152e-11,TRUE,1.63259039467924,TRUE
"1416046_a_at","fucosidase, alpha-L- 2, plasma","Fuca2",2.46375801771036e-05,TRUE,-1.16435431992283,TRUE
"1416048_at","polyhomeotic-like 2 (Drosophila)","Phc2",5.56981835947766e-12,TRUE,-1.32451469894275,TRUE
"1416049_at","glycine decarboxylase","Gldc",0.0207893985706766,TRUE,-1.73526566516933,TRUE
"1416054_at","ribosomal protein S5","Rps5",3.74918091335014e-09,TRUE,4.20768317921981,TRUE
"1416056_a_at","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11","Ndufb11",5.18543038533445e-11,TRUE,3.24632523491966,TRUE
"1416057_at","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11","Ndufb11",1.29509126710561e-08,TRUE,3.53595821972069,TRUE
"1416059_at","SEC23B (S. cerevisiae)","Sec23b",3.59662938731678e-09,TRUE,1.34907956510938,TRUE
"1416064_a_at","heat shock protein 5","Hspa5",5.45514712120695e-09,TRUE,1.20692264075816,TRUE
"1416066_at","CD9 antigen","Cd9",1.7564961343045e-05,TRUE,3.22443639400592,TRUE
"1416069_at","phosphofructokinase, platelet","Pfkp",2.49366015423555e-07,TRUE,1.65814313853134,TRUE
"1416070_a_at","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18","Ddx18",2.46961570473836e-08,TRUE,2.50336894996249,TRUE
"1416071_at","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18","Ddx18",2.78503195560967e-12,TRUE,2.43860780949375,TRUE
"1416073_a_at","nucleoporin 85","Nup85",1.37721097159938e-06,TRUE,-1.01481473382771,TRUE
"1416074_a_at","ribosomal protein L28","Rpl28",9.11149880286507e-10,TRUE,4.11202878203297,TRUE
"1416076_at","cyclin B1","Ccnb1",4.22580000272036e-09,TRUE,-1.17097781015995,TRUE
"1416078_s_at","v-raf-leukemia viral oncogene 1","Raf1",1.70524657220009e-07,TRUE,-1.30552949875208,TRUE
"1416079_a_at","actin related protein 2/3 complex, subunit 1A","Arpc1a",3.66066031651447e-06,TRUE,2.79119250166709,TRUE
"1416081_at","SMAD family member 1","Smad1",4.43170115283303e-08,TRUE,-2.31705082105,TRUE
"1416082_at","RAB1, member RAS oncogene family","Rab1",5.4368885260001e-08,TRUE,3.28822425853036,TRUE
"1416088_a_at","ribosomal protein S15","Rps15",1.16145735080706e-06,TRUE,3.55758895029859,TRUE
"1416089_at","ribosomal protein S15","Rps15",1.33020237039263e-06,TRUE,5.22351515807552,TRUE
"1416091_at","microtubule-associated protein 4","Map4",2.23473589592196e-08,TRUE,-1.05840572866837,TRUE
"1416094_at","a disintegrin and metallopeptidase domain 9 (meltrin gamma)","Adam9",1.97516281311409e-09,TRUE,-1.15022389130062,TRUE
"1416096_at","VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog","Vipas39",7.3631797781395e-12,TRUE,1.39405951889944,TRUE
"1416098_at","synaptogyrin 3","Syngr3",4.66476397217992e-08,TRUE,1.0196341633126,TRUE
"1416099_at","ribosomal protein L27","Rpl27",9.13263293767174e-10,TRUE,1.63801296468682,TRUE
"1416100_at","eukaryotic translation initiation factor 3, subunit D","Eif3d",4.51024621683306e-12,TRUE,3.13414556864233,TRUE
"1416104_at","mannose-P-dolichol utilization defect 1","Mpdu1",0.00117877178840516,TRUE,1.58611404017194,TRUE
"1416108_a_at","transmembrane emp24 domain containing 3","Tmed3",5.7255682991605e-05,TRUE,1.09480594400421,TRUE
"1416109_at","fucosidase, alpha-L- 1, tissue","Fuca1",7.13911667614833e-11,TRUE,2.14194184638787,TRUE
"1416115_at","origin recognition complex, subunit 3","Orc3",1.66195258474533e-13,TRUE,4.38362859299238,TRUE
"1416116_at","origin recognition complex, subunit 3","Orc3",2.40637175564632e-06,TRUE,1.93811806426756,TRUE
"1416119_at","thioredoxin 1","Txn1",8.81851591265228e-09,TRUE,1.09403612642826,TRUE
"1416120_at","ribonucleotide reductase M2","Rrm2",0.00273383245039241,TRUE,1.13375808112035,TRUE
"1416122_at","cyclin D2","Ccnd2",6.79738261948081e-05,TRUE,1.76599518259118,TRUE
"1416129_at","ERBB receptor feedback inhibitor 1","Errfi1",9.57767840037933e-09,TRUE,-1.21518579917331,TRUE
"1416131_s_at","EFR3 homolog A (S. cerevisiae)","Efr3a",2.42123878400964e-09,TRUE,-1.2314912327209,TRUE
"1416133_at","EFR3 homolog A (S. cerevisiae)","Efr3a",5.78177414600377e-06,TRUE,-1.56196649188794,TRUE
"1416135_at","apurinic/apyrimidinic endonuclease 1","Apex1",6.69306603005439e-08,TRUE,2.75963177914067,TRUE
"1416141_a_at","ribosomal protein S6, pseudogene 4///ribosomal protein S6","Rps6-ps4///Rps6",3.18299529805545e-10,TRUE,2.84590095677961,TRUE
"1416142_at","ribosomal protein S6","Rps6",4.17559794415831e-07,TRUE,1.63123434722257,TRUE
"1416143_at","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F","Atp5j",4.27145090608649e-08,TRUE,4.95722978366907,TRUE
"1416146_at","heat shock protein 4","Hspa4",1.07706942176195e-09,TRUE,5.12013074097221,TRUE
"1416152_a_at","serine/arginine-rich splicing factor 3","Srsf3",1.31388615636908e-06,TRUE,-1.17693806121394,TRUE
"1416154_at","signal recognition particle 54B///signal recognition particle 54A","Srp54b///Srp54a",2.77145211764161e-06,TRUE,-1.11970985505381,TRUE
"1416155_at","high mobility group box 3","Hmgb3",2.49064289665889e-08,TRUE,-1.3255140903529,TRUE
"1416157_at","vinculin","Vcl",0.000376276545765593,TRUE,1.85376526768412,TRUE
"1416159_at","nuclear receptor subfamily 2, group F, member 2","Nr2f2",0.0019165864766256,TRUE,-1.5481407492345,TRUE
"1416162_at","RAD21 homolog (S. pombe)","Rad21",0.0116862985883837,TRUE,-1.69032722482001,TRUE
"1416163_at","COP9 (constitutive photomorphogenic) homolog, subunit 4 (Arabidopsis thaliana)","Cops4",5.88960428518589e-10,TRUE,2.78034348710174,TRUE
"1416166_a_at","peroxiredoxin 4","Prdx4",0.00117365781491426,TRUE,4.14550916321618,TRUE
"1416167_at","peroxiredoxin 4","Prdx4",1.94886985755385e-06,TRUE,2.10235307742939,TRUE
"1416170_at","TNF receptor-associated protein 1","Trap1",2.93394692876431e-08,TRUE,2.00988217739893,TRUE
"1416171_at","KAT8 regulatory NSL complex subunit 2","Kansl2",6.41458747655887e-07,TRUE,-1.00327884898978,TRUE
"1416174_at","retinoblastoma binding protein 9","Rbbp9",2.40763267118458e-05,TRUE,1.36679035299717,TRUE
"1416175_a_at","voltage-dependent anion channel 3","Vdac3",7.5141309766366e-10,TRUE,2.44025236762416,TRUE
"1416177_at","RNA binding motif protein, X linked-like-1","Rbmxl1",9.08295064417926e-08,TRUE,2.01141405064251,TRUE
"1416181_at","mesoderm development candidate 2","Mesdc2",2.57229783628443e-11,TRUE,2.11587405561124,TRUE
"1416182_at","amyloid beta (A4) precursor protein-binding, family A, member 3","Apba3",1.24726278453444e-07,TRUE,1.37880267405932,TRUE
"1416188_at","GM2 ganglioside activator protein","Gm2a",0.00167717725042823,TRUE,1.56717782517643,TRUE
"1416192_at","N-ethylmaleimide sensitive fusion protein attachment protein alpha","Napa",1.36364882627408e-07,TRUE,3.18105995006985,TRUE
"1416197_at","U1 small nuclear ribonucleoprotein C","Snrpc",2.32639205795276e-13,TRUE,2.78279187081288,TRUE
"1416201_at","v-crk sarcoma virus CT10 oncogene homolog (avian)","Crk",1.11821044965906e-07,TRUE,-1.24138859540314,TRUE
"1416202_at","prohibitin 2","Phb2",9.1793036162467e-09,TRUE,1.01182316982496,TRUE
"1416206_at","signal-induced proliferation associated gene 1","Sipa1",3.78501454485048e-13,TRUE,2.50936487125982,TRUE
"1416208_at","ubiquitin specific peptidase 14","Usp14",3.58487045583115e-09,TRUE,2.68026852503562,TRUE
"1416209_at","glutamate dehydrogenase 1","Glud1",3.50048845466265e-06,TRUE,-1.00415071367121,TRUE
"1416212_at","mago-nashi homolog, proliferation-associated (Drosophila)","Magoh",7.14104086229608e-08,TRUE,-1.20874823425413,TRUE
"1416213_x_at","surfeit gene 4","Surf4",3.80517603028657e-07,TRUE,1.05713964464623,TRUE
"1416216_at","RalBP1 associated Eps domain containing protein","Reps1",3.75628101754934e-08,TRUE,-1.58805773589063,TRUE
"1416217_a_at","ribosomal protein L37a","Rpl37a",1.51885606768739e-08,TRUE,2.91670241412849,TRUE
"1416218_x_at","ribosomal protein L37a","Rpl37a",1.56159256766802e-05,TRUE,2.13241415190025,TRUE
"1416219_at","ribosomal protein L19","Rpl19",7.74919618625753e-08,TRUE,5.32295275983972,TRUE
"1416220_at","signal peptidase complex subunit 1 homolog (S. cerevisiae)","Spcs1",1.5105026577154e-12,TRUE,1.81585941932311,TRUE
"1416221_at","follistatin-like 1","Fstl1",3.16975361041465e-05,TRUE,-1.29681490178406,TRUE
"1416222_at","NAD(P) dependent steroid dehydrogenase-like","Nsdhl",2.73331229719011e-12,TRUE,1.51941141584112,TRUE
"1416223_at","SH3 binding domain protein 5 like","Sh3bp5l",0.0242303822901527,TRUE,-1.08440661252977,TRUE
"1416224_at","zinc finger and BTB domain containing 17","Zbtb17",6.92584983794029e-05,TRUE,2.59372623214024,TRUE
"1416226_at","actin related protein 2/3 complex, subunit 1B","Arpc1b",7.12039053748857e-08,TRUE,-1.19770215666211,TRUE
"1416229_at","riboflavin kinase","Rfk",2.0620804930937e-07,TRUE,1.20962187219308,TRUE
"1416230_at","riboflavin kinase","Rfk",5.76535632283705e-10,TRUE,1.15767652743799,TRUE
"1416231_at","Vac14 homolog (S. cerevisiae)","Vac14",2.87304555809049e-07,TRUE,1.4254522651955,TRUE
"1416234_at","leucine rich repeat containing 59","Lrrc59",1.03013801859546e-11,TRUE,2.82915795991805,TRUE
"1416235_at","leucine rich repeat containing 59","Lrrc59",1.92948126150263e-06,TRUE,1.81167962871434,TRUE
"1416240_at","proteasome (prosome, macropain) subunit, beta type 7","Psmb7",1.59185333726935e-06,TRUE,4.98767208007321,TRUE
"1416243_a_at","ribosomal protein L35 pseudogene///ribosomal protein L35","Gm10269///Rpl35",9.84432789615388e-09,TRUE,3.80756268671355,TRUE
"1416245_at","aurora kinase A interacting protein 1","Aurkaip1",5.34501552840237e-10,TRUE,2.59522277772195,TRUE
"1416247_at","dynactin 3","Dctn3",2.20526857541355e-07,TRUE,1.21110642902399,TRUE
"1416248_at","NAD kinase","Nadk",1.10208645068571e-08,TRUE,-1.25020629156389,TRUE
"1416252_at","serine/threonine kinase 38","Stk38",5.95332296538015e-09,TRUE,-1.087931352398,TRUE
"1416254_a_at","vacuolar protein sorting 16 (yeast)","Vps16",1.83154223264495e-06,TRUE,5.04500896558428,TRUE
"1416255_at","gap junction protein, alpha 4","Gja4",1.0110261390284e-08,TRUE,2.14432586460882,TRUE
"1416256_a_at","tubulin, beta 5 class I","Tubb5",7.78218174618629e-11,TRUE,2.47757124920371,TRUE
"1416258_at","thymidine kinase 1","Tk1",2.81936098685962e-08,TRUE,1.87450257055848,TRUE
"1416259_at","peroxisomal biogenesis factor 12","Pex12",5.45865075566234e-08,TRUE,1.6739782753343,TRUE
"1416261_at","transmembrane protein 19","Tmem19",1.81746658179473e-07,TRUE,2.92334954526857,TRUE
"1416264_at","ATP-binding cassette, sub-family B (MDR/TAP), member 9","Abcb9",0.0117047755519638,TRUE,1.08429479502181,TRUE
"1416267_at","short coiled-coil protein","Scoc",4.4566948652289e-10,TRUE,-1.28246501353822,TRUE
"1416268_at","E26 avian leukemia oncogene 2, 3' domain","Ets2",1.05484362036224e-06,TRUE,-1.07705656083203,TRUE
"1416269_at","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2","Atp5j2",1.68196591299339e-07,TRUE,3.28477385026829,TRUE
"1416272_at","late endosomal/lysosomal adaptor, MAPK and MTOR activator 3","Lamtor3",8.33977876409653e-10,TRUE,-1.3762404803644,TRUE
"1416275_at","solute carrier family 26, member 6","Slc26a6",1.60138371183525e-07,TRUE,1.54307059627381,TRUE
